source_code,source_status,aspect_ratio,mean_luma_norm,rms_contrast_norm,entropy_bits,edge_density_grad20,mean_gradient_norm,orientation_anisotropy,orientation_hist_bin_0,orientation_hist_bin_1,orientation_hist_bin_2,orientation_hist_bin_3,orientation_hist_bin_4,orientation_hist_bin_5,orientation_hist_bin_6,orientation_hist_bin_7
SRC-A,PROVISIONAL_PRIMARY_CANDIDATE,1.5594,0.3692,0.2018,7.6241,0.0745,0.0337,-0.0586,0.1497,0.1424,0.1599,0.1606,0.1576,0.0668,0.0691,0.0940
SRC-B,PRIMARY_CANDIDATE,0.7839,0.4241,0.2572,7.4277,0.0138,0.0182,-0.0363,0.1912,0.0931,0.1169,0.1613,0.1764,0.0803,0.0882,0.0926
SRC-C,SECONDARY_ENHANCEMENT_CANDIDATE,0.5862,0.7286,0.2815,7.2489,0.3203,0.0678,-0.0302,0.1706,0.1154,0.1199,0.1829,0.1456,0.0728,0.0756,0.1172
SRC-D,PROVISIONAL_PRIMARY_CANDIDATE,0.9981,0.6732,0.1995,6.6455,0.0804,0.0271,-0.0393,0.1516,0.1167,0.1249,0.1498,0.1677,0.0897,0.0874,0.1122
SRC-E,PROVISIONAL_PRIMARY_CANDIDATE,1.0094,0.6138,0.1314,6.9347,0.0358,0.0168,0.0325,0.2546,0.0476,0.0468,0.1470,0.2353,0.0416,0.0596,0.1676
